missing_index,command,return_code,timed_out,mlir_count,updated_csv_rows,mlir_filenames,stderr_tail
28,"aten::mm '[[304, 24576], [24576, 512]]' '['""'""'c10::BFloat16'""'""', '""'""'c10::BFloat16'""'""']' '[[1, 304], [512, 1]]' '['""'""''""'""', '""'""''""'""']'",1,0,1,1,fused_op_mm_a107c8c56726afcbef91d9e17bfead38892510f3_24576x304xbfloat16_24576x512xbfloat16.mlir,
29,"aten::mm '[[576, 528], [528, 2304]]' '['""'""'c10::BFloat16'""'""', '""'""'c10::BFloat16'""'""']' '[[1, 576], [2304, 1]]' '['""'""''""'""', '""'""''""'""']'",1,0,1,1,fused_op_mm_46d345dd3cabfedf0f1897609fb7ec1f06f23225_528x576xbfloat16_528x2304xbfloat16.mlir,
30,"aten::mm '[[2304, 528], [528, 576]]' '['""'""'c10::BFloat16'""'""', '""'""'c10::BFloat16'""'""']' '[[1, 2304], [576, 1]]' '['""'""''""'""', '""'""''""'""']'",1,0,1,1,fused_op_mm_93eb413c69cd0773c22959f51c733c416b4cbf20_528x2304xbfloat16_528x576xbfloat16.mlir,
31,"aten::mm '[[24576, 512], [512, 304]]' '['""'""'c10::BFloat16'""'""', '""'""'c10::BFloat16'""'""']' '[[512, 1], [1, 512]]' '['""'""''""'""', '""'""''""'""']'",1,0,1,1,fused_op_mm_870474c932f1b1da51aaac61a7c4b8e60d120310_24576x512xbfloat16_304x512xbfloat16.mlir,
32,"aten::mm '[[1728, 528], [528, 576]]' '['""'""'c10::BFloat16'""'""', '""'""'c10::BFloat16'""'""']' '[[1, 1728], [576, 1]]' '['""'""''""'""', '""'""''""'""']'",1,0,1,1,fused_op_mm_a3b0ea6a0f51b8e4a2860aff1e387a7521bb3fd2_528x1728xbfloat16_528x576xbfloat16.mlir,
33,"aten::bmm '[[16, 192, 384], [16, 384, 384]]' '['""'""'c10::BFloat16'""'""', '""'""'c10::BFloat16'""'""']' '[[73728, 1, 192], [147456, 1, 384]]' '['""'""''""'""', '""'""''""'""']'",1,0,1,1,fused_op_bmm_867027adba2210eaaafe9656e1c0693cb4700389_16x384x192xbfloat16_16x384x384xbfloat16.mlir,
34,"aten::addmm '[[1024], [16, 1024], [1024, 1024], [], []]' '['""'""'c10::BFloat16'""'""', '""'""'c10::BFloat16'""'""', '""'""'c10::BFloat16'""'""', '""'""'Scalar'""'""', '""'""'Scalar'""'""']' '[[1], [1024, 1], [1, 1024], [], []]' '['""'""''""'""', '""'""''""'""', '""'""''""'""', '""'""'1'""'""', '""'""'1'""'""']'",1,0,1,1,fused_op_convert_el_convert_el_convert_el_mm_mul_mul_1_add_convert_el_a18546d281e2a398f284202fcc5c7e6ad3a801f3_1024xbfloat16_16x1024xbfloat16_1024x1024xbfloat16.mlir,
35,"aten::mm '[[1024, 16], [16, 1024]]' '['""'""'c10::BFloat16'""'""', '""'""'c10::BFloat16'""'""']' '[[1, 1024], [1024, 1]]' '['""'""''""'""', '""'""''""'""']'",1,0,1,1,fused_op_mm_f58fc941dde260203696d2f3639df455a0135a9c_16x1024xbfloat16_16x1024xbfloat16.mlir,
36,"aten::addmm '[[1024], [16, 512], [512, 1024], [], []]' '['""'""'c10::BFloat16'""'""', '""'""'c10::BFloat16'""'""', '""'""'c10::BFloat16'""'""', '""'""'Scalar'""'""', '""'""'Scalar'""'""']' '[[1], [512, 1], [1, 512], [], []]' '['""'""''""'""', '""'""''""'""', '""'""''""'""', '""'""'1'""'""', '""'""'1'""'""']'",1,0,1,1,fused_op_convert_el_convert_el_convert_el_mm_mul_mul_1_add_convert_el_ebd6e4b400990d00a7fa82de4bf64507bdd41f36_1024xbfloat16_16x512xbfloat16_1024x512xbfloat16.mlir,
37,"aten::mm '[[1024, 16], [16, 512]]' '['""'""'c10::BFloat16'""'""', '""'""'c10::BFloat16'""'""']' '[[1, 1024], [512, 1]]' '['""'""''""'""', '""'""''""'""']'",1,0,1,1,fused_op_mm_6bd98a9dd0371d4e88c42c3d602a911b05a51a49_16x1024xbfloat16_16x512xbfloat16.mlir,
38,"aten::mm '[[256, 3072], [3072, 2048]]' '['""'""'c10::BFloat16'""'""', '""'""'c10::BFloat16'""'""']' '[[1, 256], [2048, 1]]' '['""'""''""'""', '""'""''""'""']'",1,0,1,1,fused_op_mm_5162f186214cd313994c3fd4ab6fc791ddb3dfa0_3072x256xbfloat16_3072x2048xbfloat16.mlir,
