index,return_code,subdir_count,mapped_count,subdirs,mapped_mlirs,command
24,0,1,1,fused_op_mm_037e17c7c6421d0affce70af3955521ede7322a6_24576x2048xbfloat16_512x2048xbfloat16,fused_op_mm_037e17c7c6421d0affce70af3955521ede7322a6_24576x2048xbfloat16_512x2048xbfloat16.mlir,"aten::mm '[[24576, 2048], [2048, 512]]' '['""'""'c10::BFloat16'""'""', '""'""'c10::BFloat16'""'""']' '[[2048, 1], [1, 2048]]' '['""'""''""'""', '""'""''""'""']'"
25,0,1,1,fused_op_mm_e63209797e8db9a4df3e077b97501401681b3d1e_4096x4096xbfloat16_4096x2048xbfloat16,fused_op_mm_e63209797e8db9a4df3e077b97501401681b3d1e_4096x4096xbfloat16_4096x2048xbfloat16.mlir,"aten::mm '[[4096, 4096], [4096, 2048]]' '['""'""'c10::BFloat16'""'""', '""'""'c10::BFloat16'""'""']' '[[4096, 1], [2048, 1]]' '['""'""''""'""', '""'""''""'""']'"
26,0,1,1,fused_op_mm_db130b65ff3f306690ec221ac913642c0e7b9ca0_4096x4096xbfloat16_4096x2048xbfloat16,fused_op_mm_db130b65ff3f306690ec221ac913642c0e7b9ca0_4096x4096xbfloat16_4096x2048xbfloat16.mlir,"aten::mm '[[4096, 4096], [4096, 2048]]' '['""'""'c10::BFloat16'""'""', '""'""'c10::BFloat16'""'""']' '[[1, 4096], [2048, 1]]' '['""'""''""'""', '""'""''""'""']'"
27,0,1,1,fused_op_mm_f95b35db09b9a9e8f4ea008692436b7f911edd41_4112x2048xbfloat16_2048x2048xbfloat16,fused_op_mm_f95b35db09b9a9e8f4ea008692436b7f911edd41_4112x2048xbfloat16_2048x2048xbfloat16.mlir,"aten::mm '[[4112, 2048], [2048, 2048]]' '['""'""'c10::BFloat16'""'""', '""'""'c10::BFloat16'""'""']' '[[2048, 1], [2048, 1]]' '['""'""''""'""', '""'""''""'""']'"
28,0,1,1,fused_op_mm_79d284b9b53c66d5daa286a3d25a4fb58fcf39fa_4112x2048xbfloat16_4112x2048xbfloat16,fused_op_mm_79d284b9b53c66d5daa286a3d25a4fb58fcf39fa_4112x2048xbfloat16_4112x2048xbfloat16.mlir,"aten::mm '[[2048, 4112], [4112, 2048]]' '['""'""'c10::BFloat16'""'""', '""'""'c10::BFloat16'""'""']' '[[1, 2048], [2048, 1]]' '['""'""''""'""', '""'""''""'""']'"
29,0,1,1,fused_op_mm_177b289ada3f3d6f1934d4b326b2cdbd795fe9c3_24576x512xbfloat16_2048x512xbfloat16,fused_op_mm_177b289ada3f3d6f1934d4b326b2cdbd795fe9c3_24576x512xbfloat16_2048x512xbfloat16.mlir,"aten::mm '[[24576, 512], [512, 2048]]' '['""'""'c10::BFloat16'""'""', '""'""'c10::BFloat16'""'""']' '[[512, 1], [1, 512]]' '['""'""''""'""', '""'""''""'""']'"
30,0,1,1,fused_op_mm_2b40e1d10f495e8892161007a3d857949b748ed9_4096x1152xbfloat16_4096x576xbfloat16,fused_op_mm_2b40e1d10f495e8892161007a3d857949b748ed9_4096x1152xbfloat16_4096x576xbfloat16.mlir,"aten::mm '[[1152, 4096], [4096, 576]]' '['""'""'c10::BFloat16'""'""', '""'""'c10::BFloat16'""'""']' '[[1, 1152], [576, 1]]' '['""'""''""'""', '""'""''""'""']'"
31,0,1,1,fused_op_mm_de1cc1ecefb296f0f36d55e7d939d0a1de5291ed_24576x2048xbfloat16_24576x512xbfloat16,fused_op_mm_de1cc1ecefb296f0f36d55e7d939d0a1de5291ed_24576x2048xbfloat16_24576x512xbfloat16.mlir,"aten::mm '[[2048, 24576], [24576, 512]]' '['""'""'c10::BFloat16'""'""', '""'""'c10::BFloat16'""'""']' '[[1, 2048], [512, 1]]' '['""'""''""'""', '""'""''""'""']'"
32,0,1,1,fused_op_mm_e2e72c2e0c1af04b06aeee2cfe0e751bcb850a6c_24576x2048xbfloat16_2048x512xbfloat16,fused_op_mm_e2e72c2e0c1af04b06aeee2cfe0e751bcb850a6c_24576x2048xbfloat16_2048x512xbfloat16.mlir,"aten::mm '[[24576, 2048], [2048, 512]]' '['""'""'c10::BFloat16'""'""', '""'""'c10::BFloat16'""'""']' '[[2048, 1], [512, 1]]' '['""'""''""'""', '""'""''""'""']'"
33,0,1,1,fused_op_mm_815596f93e67e8e8bdaa1bd20990c050aacfec1e_4096x1152xbfloat16_1152x576xbfloat16,fused_op_mm_815596f93e67e8e8bdaa1bd20990c050aacfec1e_4096x1152xbfloat16_1152x576xbfloat16.mlir,"aten::mm '[[4096, 1152], [1152, 576]]' '['""'""'c10::BFloat16'""'""', '""'""'c10::BFloat16'""'""']' '[[1152, 1], [576, 1]]' '['""'""''""'""', '""'""''""'""']'"
34,0,1,1,fused_op_bmm_cd2c01531f6bc12976a4418ee3511a3c781328f3_128x3x3xfloat64_128x3x1152xfloat64,fused_op_bmm_cd2c01531f6bc12976a4418ee3511a3c781328f3_128x3x3xfloat64_128x3x1152xfloat64.mlir,"aten::bmm '[[128, 3, 3], [128, 3, 1152]]' '['""'""'float'""'""', '""'""'float'""'""']' '[[9, 3, 1], [3456, 1152, 1]]' '['""'""''""'""', '""'""''""'""']'"
