filename,M,N,K,batch,tuning_folder_path,proxy_shapes
fused_op_convert_el_convert_el_convert_el_mm_mul_mul_1_add_convert_el_b27d9c0e423a8ca54741b35128a4f51fc8e8b9ef_512xbfloat16_18928x128xbfloat16_512x128xbfloat16.mlir,18928,512,128,1,,"aten::addmm '[[512], [18928, 128], [128, 512], [], []]' '['""'""'c10::BFloat16'""'""', '""'""'c10::BFloat16'""'""', '""'""'c10::BFloat16'""'""', '""'""'Scalar'""'""', '""'""'Scalar'""'""']' '[[1], [128, 1], [1, 128], [], []]' '['""'""''""'""', '""'""''""'""', '""'""''""'""', '""'""'1'""'""', '""'""'1'""'""']'"
fused_op_convert_el_convert_el_convert_el_mm_mul_mul_1_add_convert_el_b2dab24aca4d3694d933173c89b1d666c667eff8_16384xbfloat16_150000x4096xbfloat16_16384x4096xbfloat16.mlir,150000,16384,4096,1,,"aten::addmm '[[16384], [150000, 4096], [4096, 16384], [], []]' '['""'""'c10::BFloat16'""'""', '""'""'c10::BFloat16'""'""', '""'""'c10::BFloat16'""'""', '""'""'Scalar'""'""', '""'""'Scalar'""'""']' '[[1], [4096, 1], [1, 4096], [], []]' '['""'""''""'""', '""'""''""'""', '""'""''""'""', '""'""'1'""'""', '""'""'1'""'""']'"
fused_op_convert_el_convert_el_convert_el_mm_mul_mul_1_add_convert_el_bd1b24beac540bdfac66ebdd2a23d60cd9da9854_512xbfloat16_24576x512xbfloat16_512x512xbfloat16.mlir,24576,512,512,1,,"aten::addmm '[[512], [24576, 512], [512, 512], [], []]' '['""'""'c10::BFloat16'""'""', '""'""'c10::BFloat16'""'""', '""'""'c10::BFloat16'""'""', '""'""'Scalar'""'""', '""'""'Scalar'""'""']' '[[1], [512, 1], [1, 512], [], []]' '['""'""''""'""', '""'""''""'""', '""'""''""'""', '""'""'1'""'""', '""'""'1'""'""']'"
fused_op_convert_el_convert_el_convert_el_mm_mul_mul_1_add_convert_el_ce0548a45550d59dfd291d4bc2e6fb0db0946f60_576xbfloat16_1280x3840xbfloat16_576x3840xbfloat16.mlir,1280,576,3840,1,,"aten::addmm '[[576], [1280, 3840], [3840, 576], [], []]' '['""'""'c10::BFloat16'""'""', '""'""'c10::BFloat16'""'""', '""'""'c10::BFloat16'""'""', '""'""'Scalar'""'""', '""'""'Scalar'""'""']' '[[1], [3840, 1], [1, 3840], [], []]' '['""'""''""'""', '""'""''""'""', '""'""''""'""', '""'""'1'""'""', '""'""'1'""'""']'"
fused_op_convert_el_convert_el_convert_el_mm_mul_mul_1_add_convert_el_d62c32e8006b92eea0ce799caaa1301713177ec8_4096xbfloat16_150000x2048xbfloat16_4096x2048xbfloat16.mlir,150000,4096,2048,1,,"aten::addmm '[[4096], [150000, 2048], [2048, 4096], [], []]' '['""'""'c10::BFloat16'""'""', '""'""'c10::BFloat16'""'""', '""'""'c10::BFloat16'""'""', '""'""'Scalar'""'""', '""'""'Scalar'""'""']' '[[1], [2048, 1], [1, 2048], [], []]' '['""'""''""'""', '""'""''""'""', '""'""''""'""', '""'""'1'""'""', '""'""'1'""'""']'"
fused_op_convert_el_convert_el_convert_el_mm_mul_mul_1_add_convert_el_da72b0b7f66978de8cb5b5125aed54bff827ad2c_4096xbfloat16_150000x105xbfloat16_4096x105xbfloat16.mlir,150000,4096,105,1,,"aten::addmm '[[4096], [150000, 105], [105, 4096], [], []]' '['""'""'c10::BFloat16'""'""', '""'""'c10::BFloat16'""'""', '""'""'c10::BFloat16'""'""', '""'""'Scalar'""'""', '""'""'Scalar'""'""']' '[[1], [105, 1], [1, 105], [], []]' '['""'""''""'""', '""'""''""'""', '""'""''""'""', '""'""'1'""'""', '""'""'1'""'""']'"
fused_op_convert_el_convert_el_convert_el_mm_mul_mul_1_add_convert_el_e03cb945dc6d015f47360c19ac08e007f407ecea_512xbfloat16_32768x128xbfloat16_512x128xbfloat16.mlir,32768,512,128,1,,"aten::addmm '[[512], [32768, 128], [128, 512], [], []]' '['""'""'c10::BFloat16'""'""', '""'""'c10::BFloat16'""'""', '""'""'c10::BFloat16'""'""', '""'""'Scalar'""'""', '""'""'Scalar'""'""']' '[[1], [128, 1], [1, 128], [], []]' '['""'""''""'""', '""'""''""'""', '""'""''""'""', '""'""'1'""'""', '""'""'1'""'""']'"
fused_op_convert_el_convert_el_convert_el_mm_mul_mul_1_add_convert_el_e3c3813d9aed808a2629431fe19bac16e5a4a1a7_576xbfloat16_1280x576xbfloat16_576x576xbfloat16.mlir,1280,576,576,1,,"aten::addmm '[[576], [1280, 576], [576, 576], [], []]' '['""'""'c10::BFloat16'""'""', '""'""'c10::BFloat16'""'""', '""'""'c10::BFloat16'""'""', '""'""'Scalar'""'""', '""'""'Scalar'""'""']' '[[1], [576, 1], [1, 576], [], []]' '['""'""''""'""', '""'""''""'""', '""'""''""'""', '""'""'1'""'""', '""'""'1'""'""']'"
fused_op_convert_el_convert_el_convert_el_mm_mul_mul_1_add_convert_el_f0625543a6ef05000c9accff519357ceaf6dca0f_8192xbfloat16_150000x2048xbfloat16_8192x2048xbfloat16.mlir,150000,8192,2048,1,,"aten::addmm '[[8192], [150000, 2048], [2048, 8192], [], []]' '['""'""'c10::BFloat16'""'""', '""'""'c10::BFloat16'""'""', '""'""'c10::BFloat16'""'""', '""'""'Scalar'""'""', '""'""'Scalar'""'""']' '[[1], [2048, 1], [1, 2048], [], []]' '['""'""''""'""', '""'""''""'""', '""'""''""'""', '""'""'1'""'""', '""'""'1'""'""']'"
fused_op_convert_el_convert_el_convert_el_mm_mul_mul_1_add_convert_el_f1a2658e00aec6ee8c6e680ab2a12ecbb334581e_128xbfloat16_18928x512xbfloat16_128x512xbfloat16.mlir,18928,128,512,1,,"aten::addmm '[[128], [18928, 512], [512, 128], [], []]' '['""'""'c10::BFloat16'""'""', '""'""'c10::BFloat16'""'""', '""'""'c10::BFloat16'""'""', '""'""'Scalar'""'""', '""'""'Scalar'""'""']' '[[1], [512, 1], [1, 512], [], []]' '['""'""''""'""', '""'""''""'""', '""'""''""'""', '""'""'1'""'""', '""'""'1'""'""']'"
